Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Industrial,NY0008613,BROOKLYN BOTTLING CO OF MILTON WWTP,Surface,0.34,681 SOUTH RD,MILTON,NY,USA,12547,41.65,-73.96,"(41.65, -73.96)",POINT (-73.96 41.65)
Municipal,NY0029271,SIDNEY - V STP,Surface,1.70,72 RIVER ST,SIDNEY,NY,USA,13838,42.31,-75.40,"(42.31, -75.4)",POINT (-75.4 42.31)
Industrial,NY0005304,CORWIN/CRESCENT DUCK FARM,Surface,0.09,10 EDGAR AVE,AQUEBOGUE,NY,USA,11931,40.94,-72.62,"(40.94, -72.62)",POINT (-72.62 40.94)
Industrial,NY0084468,CORNING INNOVATION SUPPORT CENTER,Surface,0.32,673 CO RTE 64,BIG FLATS,NY,USA,14814,42.14,-76.92,"(42.14, -76.92)",POINT (-76.92 42.14)
Municipal,NY0020494,BOONVILLE WWTP,Surface,1.10,3040 MILL CREEK RD,BOONVILLE,NY,USA,13309,43.49,-75.33,"(43.49, -75.33)",POINT (-75.33 43.49)
Industrial,NY0002984,VANDERBILT MINERALS LLC - GOVERNEUR MINERAL DIVISION,Surface,0.45,1837 ST RTE 812,GOUVERNEUR,NY,USA,13642,44.26,-75.40,"(44.26, -75.4)",POINT (-75.4 44.26)
Municipal,NY0091081,SCSD #28 - FAIRFIELD STP,Ground,0.14,221 MORICHES RD,SAINT JAMES,NY,USA,11784,40.87,-73.14,"(40.87, -73.14)",POINT (-73.14 40.87)
Municipal,NY0025429,MILLBROOK SEWAGE TREATMENT PLANT,Surface,0.25,39 NORTH AVE,MILLBROOK,NY,USA,12545,41.79,-73.70,"(41.79, -73.7)",POINT (-73.7 41.79)
Industrial,NY0237370,EXPRESSWAY 55 CAR WASH,Ground,,800 MOTOR PKWY |LIE EXIT 55,BRENTWOOD,NY,USA,11717,40.81,-73.23,"(40.81, -73.23)",POINT (-73.23 40.81)
Industrial,NY0008133,PORT AUTH OF NY & NJ - LAGUARDIA AIRPORT,Surface,0.38,GRAND CENTRAL PKWY & 94TH ST,FLUSHING,NY,USA,11371,40.77,-73.87,"(40.77, -73.87)",POINT (-73.87 40.77)
Industrial,NY0002836,UNIVERSITY OF ROCHESTER - CENTRAL UTILITIES,Surface,13.09,390 ELMWOOD AVE,ROCHESTER,NY,USA,14323,43.12,-77.63,"(43.12, -77.63)",POINT (-77.63 43.12)
Industrial,NY0262005,Knowles Cazenovia,Surface,,2777 US RTE 20 E,CAZENOVIA,NY,USA,13035,42.92,-75.81,"(42.92, -75.81)",POINT (-75.81 42.92)
Industrial,NY0006092,IMERYS WOLLASTONITE PLANT,Surface,0.00,803 MOUNTAIN VIEW DR,WILLSBORO,NY,USA,12996,44.36,-73.40,"(44.36, -73.4)",POINT (-73.4 44.36)
Industrial,NY0246859,7-ELEVEN #35087,Surface,0.00,8132 Buffalo Rd|(Corner of Rt 19 and Buffalo Road),Bergen,NY,USA,14416,43.07,-77.95,"(43.07, -77.95)",POINT (-77.95 43.07)
Industrial,NY0267708,NYC DOT - CITYWIDE BRIDGE SUMP PUMP DISCHARGES,Surface,,CITYWIDE,NEW YORK CITY,NY,USA,,,,,
Industrial,NY0267325,CANDLEWOOD LAUNDROMAT,Ground,0.03,3 CANDLEWOOD RD,Bay Shore,NY,USA,11706,40.77,-73.27,"(40.77, -73.27)",POINT (-73.27 40.77)
Municipal,NY0274526,PEACH LAKE SEWER DISTRICT WWTP,Surface,0.17,ST RTE 121 & MAPLE LN,SOUTHEAST,NY,USA,10509,41.37,-73.58,"(41.37, -73.58)",POINT (-73.58 41.37)
Municipal,NY0031216,TUXEDO PARK STP,Surface,0.40,WEE WAH RD - N END WEE WAH LAKE,TUXEDO PARK,NY,USA,10987,41.22,-74.19,"(41.22, -74.19)",POINT (-74.19 41.22)
Municipal,NY0031356,CARMEL SD #2 STP,Surface,1.10,US RTE 6 & BREWSTER AVE,CARMEL,NY,USA,10541,41.42,-73.67,"(41.42, -73.67)",POINT (-73.67 41.42)
Industrial,NY0005011,NORTHEAST GREEN CENTER LLC,Surface,0.02,28 TAYLOR AVE,BERLIN,NY,USA,12022,42.70,-73.37,"(42.7, -73.37)",POINT (-73.37 42.7)
Industrial,NY0274305,OCDPW WARWICK MAINTENANCE FACILITY,Ground,,186 PINE ISLAND TPK,WARWICK,NY,USA,10990,41.27,-74.39,"(41.27, -74.39)",POINT (-74.39 41.27)
Industrial,NY0248355,BURKE OIL & HEATING HAWTHORNE TERMINAL,Surface,,475 COMMERCE ST,MOUNT PLEASANT,NY,USA,12457,41.11,-73.79,"(41.11, -73.79)",POINT (-73.79 41.11)
Municipal,NY0020516,SCHENECTADY WATER RESOURCE RECOVER FACILITY,Surface,18.50,300 ANTHONY ST,SCHENECTADY,NY,USA,12305,42.84,-73.92,"(42.84, -73.92)",POINT (-73.92 42.84)
Industrial,NY0270571,THALLE FISHKILL QUARRY,Surface,,172 US RTE 9,FISHKILL,NY,USA,12524,41.50,-73.90,"(41.5, -73.9)",POINT (-73.9 41.5)
Industrial,NY0276669,NYS DOT- KOSCIUSZKO BRIDGE,Surface,0.07,KOSCIUSZKO BRIDGE OVER NEWTOWN CREEK,BROOKLYN/LIC,NY,USA,,,,,
Municipal,NY0023591,COOPERSTOWN WWTP,Surface,0.75,213 LINDEN AVE|S END,COOPERSTOWN,NY,USA,13326,42.69,-74.93,"(42.69, -74.93)",POINT (-74.93 42.69)
Municipal,NY0023809,EDWARDS STP,Surface,0.08,DEPOT ST,EDWARDS,NY,USA,13635,44.32,-75.25,"(44.32, -75.25)",POINT (-75.25 44.32)
Municipal,NY0033545,COXSACKIE - V STP,Surface,1.25,88 S RIVER ST,COXSACKIE,NY,USA,12051,42.35,-73.79,"(42.35, -73.79)",POINT (-73.79 42.35)
Municipal,NY0024660,EVANS MILLS WASTEWATER TREATMENT FAC,Surface,0.10,8724 NOBLE ST,EVANS MILLS,NY,USA,13637,44.09,-75.81,"(44.09, -75.81)",POINT (-75.81 44.09)
Municipal,NY0110574,CALLICOON SEWER DISTRICT,Surface,0.12,36 VIADUCT RD,CALLICOON,NY,USA,12723,41.76,-75.05,"(41.76, -75.05)",POINT (-75.05 41.76)
Municipal,NY0031844,BELMONT STP,Surface,0.16,WILLARD ST & ERIE ST,BELMONT,NY,USA,14813,42.23,-78.04,"(42.23, -78.04)",POINT (-78.04 42.23)
Municipal,NY0270598,WESTERN RAMAPO ADVANCED WWTP,Surface,1.50,137 ST RTE 17,HILLBURN,NY,USA,10931,41.12,-74.16,"(41.12, -74.16)",POINT (-74.16 41.12)
Industrial,NY0005151,CON EDISON - HUDSON AVE STATION,Surface,5.78,1 HUDSON AVE,BROOKLYN,NY,USA,11201,40.70,-73.98,"(40.7, -73.98)",POINT (-73.98 40.7)
Municipal,NY0020273,FLORIDA-V STP,Surface,0.45,MEADOW RD - N OF QUAKER CREEK,FLORIDA,NY,USA,10921,41.34,-74.36,"(41.34, -74.36)",POINT (-74.36 41.34)
Industrial,NY0227218,DEER PARK CAR WASH,Ground,0.01,1680 DEER PARK AVE,DEER PARK,NY,USA,11729,40.75,-73.33,"(40.75, -73.33)",POINT (-73.33 40.75)
Industrial,NY0265748,CLIFTON PARK TRANSFER STATION & YARD WASTE COMPOSTING FACILITY,Surface,0.00,217 VISCHER FERRY RD,CLIFTON PARK,NY,USA,12065,42.83,-73.82,"(42.83, -73.82)",POINT (-73.82 42.83)
Municipal,NY0020168,OCEAN BEACH SEWAGE TREATMENT PLANT,Surface,0.50,94 BAY WALK,OCEAN BEACH,NY,USA,11770,40.65,-73.15,"(40.65, -73.15)",POINT (-73.15 40.65)
Industrial,NY0245089,INDECK OLEAN ENERGY CENTER,Surface,,140 MOORE AVE,OLEAN,NY,USA,14760,42.09,-78.45,"(42.09, -78.45)",POINT (-78.45 42.09)
Industrial,NY0225665,ROCKVILLE CENTRE POWER PLANT,Surface,,110 MAPLE AVE,ROCKVILLE CTR,NY,USA,11571,40.66,-73.64,"(40.66, -73.64)",POINT (-73.64 40.66)
Industrial,NY0248622,CITY OF SARATOGA SPRINGS COMPOSTING FACILITY,Ground,0.00,30 WEIBEL AVE - E SIDE,SARATOGA SPRINGS,NY,USA,12866,43.09,-73.74,"(43.09, -73.74)",POINT (-73.74 43.09)
Industrial,NY0252948,CHANNING DAUGHTERS WINERY,Ground,0.00,1927 SCUTTLEHOLE RD,BRIDGEHAMPTON,NY,USA,11932,40.96,-72.31,"(40.96, -72.31)",POINT (-72.31 40.96)
Industrial,NY0267198,EDGEWOOD ENERGY LLC,Ground,,21 SAGTIKOS PKWY|SCTM 500-71-1-1.11,BRENTWOOD,NY,USA,11717,40.79,-73.29,"(40.79, -73.29)",POINT (-73.29 40.79)
Industrial,NY0200506,PATH TUNNELS A & B,Surface,0.00,WORLD TRADE CENTER,NEW YORK,NY,USA,10048,40.71,-74.01,"(40.71, -74.01)",POINT (-74.01 40.71)
Municipal,NY0020541,ALDEN STP,Surface,0.65,W MAIN ST,ALDEN,NY,USA,14004,42.91,-78.51,"(42.91, -78.51)",POINT (-78.51 42.91)
Industrial,NY0280402,DELAWARE AQUEDUCT SHAFT 5B RONDOUT-WEST BRANCH TUNNEL REPAIR,Surface,,5503 ST RTE 9W|3 MI SECTION - ROSETON AREA TO CHELSEA AREA,NEWBURGH,NY,USA,,41.58,-73.99,"(41.58, -73.99)",POINT (-73.99 41.58)
Industrial,NY0107310,CHIP CHOP LEASE,Surface,0.00,RTE 219,ALLEGANY,NY,USA,14706,42.01,-78.61,"(42.01, -78.61)",POINT (-78.61 42.01)
Industrial,NY0005754,BEACON TECHNOLOGY CENTER,Surface,1.11,45 OLD GLENHAM RD,BEACON,NY,USA,12508,41.52,-73.94,"(41.52, -73.94)",POINT (-73.94 41.52)
